"ensembl","symbol","gene_type","baseMean","l2fc_raw","l2fc_shrunk","padj","l2fc_ref","padj_ref"
"ENSG00000110844","PRPF40B","protein-coding",1203.95094262597,0.246253711324037,0.181858638857545,0.755361003621637,0.0609348676714,0.983784613252312
"ENSG00000110848","CD69","protein-coding",6.63999360160698,3.02655926512735,1.11154268451759,0.147512208064292,2.74325545552,0.315898340499091
"ENSG00000110851","PRDM4","protein-coding",2879.5299560023,0.282197228040089,0.242147629909035,0.567102952305534,0.123742285222,0.952793933775948
"ENSG00000110852","CLEC2B","protein-coding",32.1950364028749,3.17992234117521,2.2791468958916,0.0299321281283637,3.17011874237,0.0374378431495123
"ENSG00000110871","COQ5","protein-coding",1084.12006910953,0.218230606450232,0.181392179971497,0.703587919350743,-0.0632541285454,0.983374096760889
"ENSG00000110876","SELPLG","protein-coding",39.6024462310927,0.332647987679537,0.153285988124107,0.816841258464405,0.789151019115,0.693577833381368
"ENSG00000110880","CORO1C","protein-coding",10360.0353811033,0.91868345474878,0.784048665285881,0.0580499377885983,0.716423494477,0.0254426363879399
"ENSG00000110881","ASIC1","protein-coding",593.735126178519,-0.665009378806589,-0.515615637889423,0.298075639626296,-0.343037763994,0.625190082911937
"ENSG00000110888","CAPRIN2","protein-coding",1701.33198399371,0.564718814065501,0.454641220267514,0.315520550187669,0.267921344493,0.806070151605181
"ENSG00000110900","TSPAN11","protein-coding",3164.98447444576,-0.0520265684551693,-0.0355287914817426,0.955156987634115,0.130531469518,0.961111600025143
"ENSG00000110906","KCTD10","protein-coding",6942.81120704242,0.285987931964195,0.244650916995924,0.574452518620015,0.516919230924,0.2749488759851
"ENSG00000110911","SLC11A2","protein-coding",1856.61682675954,0.190053915805869,0.13883369578846,0.806652596638459,-0.0595015008168,0.989217333809708
"ENSG00000110917","MLEC","protein-coding",15691.9596728637,0.614606285465519,0.509700852207269,0.238746614753719,0.630328290847,0.156675544112391
"ENSG00000110921","MVK","protein-coding",1652.24198416651,0.0872022712813924,0.0683274050739017,0.910955259338742,0.287655604023,0.73495987575649
"ENSG00000110925","CSRNP2","protein-coding",3294.13043771247,-0.220230362390138,-0.181083432334912,0.717514346962964,0.081423795718,0.967359948603307
"ENSG00000110931","CAMKK2","protein-coding",2116.01521227277,-0.132724169876723,-0.104904835083937,0.843062800372597,-0.306604905651,0.644399285099883
"ENSG00000110944","IL23A","protein-coding",16.5151297099608,0.770389898157431,0.409401845547806,0.512205481265941,0.0856141099001,0.994293848480136
"ENSG00000110955","ATP5F1B","protein-coding",14424.0385971172,0.506824314180137,0.407148067326284,0.387746164941517,0.073659299614,0.976120206639944
"ENSG00000110958","PTGES3","protein-coding",12287.4162480099,0.252426811499625,0.191814620989142,0.7291740789113,0.00837761919589,0.998373680293809
"ENSG00000110975","SYT10","protein-coding",155.068705533125,-1.14841216702449,-0.717490667416644,0.264163395732354,-1.25832675838,0.325797697554574
